feature_id,area,surface,user_story,expected_behavior,current_status,test_method,evidence,issues
AUTH-01,Auth,Auth landing,"As a signed-out user, I land on the auth screen by default.",The app should render the Odds Gods marketing/auth page until a valid Supabase session exists.,pass,code+browser,src/App.tsx; src/pages/AuthLanding.tsx,Shell cleanup updated the public landing wordmark and browser title from Olympus to Odds Gods.
AUTH-02,Auth,Auth landing,"As a visitor, I can toggle between create-account and log-in modes.","Tab buttons should swap form mode, labels, autocomplete behavior, and supporting copy without losing control state.",pass,code+browser,"src/pages/AuthLanding.tsx",
AUTH-03,Auth,Auth landing,"As a visitor, I cannot submit a blank auth form.","Submit should stay disabled until both email and password are populated.",pass,code+browser,"src/pages/AuthLanding.tsx",
AUTH-04,Auth,Auth flow,"As a user, I get friendly auth errors and successful auth swaps me into the app.","Known Supabase errors should be translated into user-friendly copy; successful auth should rely on the auth listener and remove the landing page.",pass,code+browser,"src/contexts/AuthContext.tsx; src/pages/AuthLanding.tsx","Browser-verified friendly copy for invalid login credentials and duplicate-account sign-up, plus successful login into the app."
AUTH-05,Auth,Account isolation,"As a user, signing out should not leak my saved league or board state into another account on the same browser.","Signing out should clear account-scoped local state so a new account starts clean and only loads its own saved leagues and board overlays.",pass,code+browser,"src/contexts/AuthContext.tsx; src/contexts/LeagueConnectionContext.tsx; src/contexts/ModelOverlayContext.tsx","Browser-verified fix: after sign-out, creating a fresh account now lands on the no-league connect flow instead of inheriting the previous user's Odds Frauds league."
CONN-01,Connection,Provider picker,"As an authenticated user without a saved league, I can choose Sleeper or ESPN from the connect page.","The connect page should present both providers, enter the selected flow, and allow returning to provider selection.",pass,code+browser,"src/pages/ConnectPage.tsx",
CONN-02,Connection,Sleeper lookup,"As a Sleeper user, I can look up my leagues by username.","Submitting a valid username should load the provider user and league list; invalid usernames should show a clear error.",pass,code+browser,"src/components/league/ConnectWizard.tsx; src/services/leagueApi.ts; server/routes/api.js",
CONN-03,Connection,Sleeper league selection,"As a Sleeper user with multiple leagues, I can pick which league to connect.","League rows should show season/team-count/scoring info and continue into league confirmation.",blocked,code+browser,"src/components/league/ConnectWizard.tsx","Blocked on a live Sleeper account fixture with current-season or previous-season leagues."
CONN-04,Connection,Sleeper confirmation,"As a Sleeper user, I can confirm my team mapping before connecting.","The confirm step should identify the user team when possible, warn for pre-draft leagues, and persist the selected league on confirm.",pass,code+browser,"src/components/league/ConnectWizard.tsx; src/contexts/LeagueConnectionContext.tsx","Browser-verified with a real multi-league Sleeper user (`avla`): team mapping resolves correctly for Odds Frauds, the Back action preserves the full 4-league list, and confirm lands in the synced matchup flow."
CONN-05,Connection,ESPN public connect,"As an ESPN manager in a public league, I can connect using league ID only.","A valid public league ID should load league metadata and team choices without requiring cookies.",blocked,code+browser,"src/components/league/EspnConnect.tsx; src/services/leagueApi.ts; server/routes/api.js","Blocked on a known-good public ESPN league fixture."
CONN-06,Connection,ESPN private connect,"As an ESPN manager in a private league, I can retry with extension or manual cookies.","Private-league errors should pivot the UI into cookie/extension guidance and allow retrying with supplied credentials.",partial,code+browser,"src/components/league/EspnConnect.tsx; server/routes/api.js","Code path is present and looks coherent, but private-league/extension behavior was not fully browser-verified in this run."
CONN-07,Connection,ESPN team selection,"As an ESPN manager, I can pick which roster is mine after league discovery.","Team rows should finalize a stored ESPN connection with league/team identity and later hydrate through the shared league context.",blocked,code+browser,"src/components/league/EspnConnect.tsx; src/contexts/LeagueConnectionContext.tsx","Blocked on a successful ESPN league lookup fixture."
SHELL-01,Shell,Routing and gating,"As a user, I am routed to the correct front door based on auth and saved-league state.","Signed-out users should stay on auth, signed-in users without a league should hit /connect, and connected users should land on /matchup.",pass,code+browser,"src/App.tsx",
SHELL-02,Shell,Welcome modal,"As a user, I can open the 'How this works' welcome modal when I ask for help.","The modal should no longer auto-open over Matchup; it should remain reachable from More as 'How this works' and close via its existing scrim/escape/buttons.",pass,code+browser,src/components/layout/AppShell.tsx; src/components/onboarding/WelcomeCard.tsx,Auto-open and seen-welcome persistence were removed from the app shell; More still opens the existing welcome content.
SHELL-03,Shell,Header refresh,"As a connected user, I can manually refresh league data from the header.","The header sync control should call refresh, show a busy state, and recover to the synced state after the request settles.",blocked,code+browser,"src/components/layout/AppHeader.tsx; src/contexts/LeagueConnectionContext.tsx","Blocked on a real connected league; the fallback audit state never exposed a healthy synced bootstrap to refresh."
SHELL-04,Shell,Odds toggle,"As a user, I can flip the entire app between American odds and win-percent display.","The odds toggle should persist to local storage and force screen re-rendering so odds-driven components update consistently.",pass,code+browser,"src/components/layout/AppShell.tsx; src/contexts/OddsFormatContext.tsx; src/utils/formatOdds.ts; src/pages/MatchupPage.tsx",
SHELL-05,Shell,Account menu and league switcher,"As a signed-in user, I can inspect my identity, switch leagues, add a league, and log out from the header menu.","The account popover should list saved leagues, mark the active league, switch context without a full reset, deep-link add-league, and sign out cleanly.",pass,code+browser,"src/components/layout/AccountMenu.tsx; src/contexts/LeagueConnectionContext.tsx; src/pages/LeaguePage.tsx",
MATCH-01,Matchup,Hero board,"As a connected manager, I can see my live matchup odds, projection, spread, and line movement.","The matchup hero should withhold odds/projections until connected pricing is ready, then render current user/opponent odds, projections, spread/total, pricing state badges, and line-change affordances when history exists.",partial,code+browser,src/pages/MatchupPage.tsx; src/adapters/connectedLeague.ts,Connected Matchup now renders Pricing your league… instead of provisional 50/50 or 0.0 projection values while pricing hydrates.
MATCH-02,Matchup,Preview lineup mode,"As a manager testing swaps, I can preview lineup changes and reset them.","Applying a starter swap should move the line into preview mode and a reset control should restore the baseline lineup and odds.",pass,code+browser,"src/pages/MatchupPage.tsx; src/hooks/useMatchupEngine.ts",
MATCH-03,Matchup,Biggest edge module,"As a manager, I can see the strongest recommended swap and apply or inspect it.","The biggest-edge card should identify the best starter/bench swing, show before/after odds, apply or preview the swap, and open deeper comparison context.",pass,code+browser,src/pages/MatchupPage.tsx; src/utils/starterEvaluation.ts; src/utils/matchupDelta.ts,Copy cleanup renamed Biggest Edge apply action to Preview and platform link to Open Sleeper/Open in ESPN without changing pricing logic.
MATCH-04,Matchup,Market movers,"As a manager, I can review the most important lineup/title-odds movers.","Market mover rows should render priced movers when available and otherwise degrade to mock/demo content without crashing.",pass,code+browser,"src/pages/MatchupPage.tsx",
MATCH-05,Matchup,Exposure timing,"As a manager, I can see when my week locks and where timing risk sits.","Exposure windows should group starters by kickoff window, show share-of-projection bars, and summarize downside if the next block underperforms.",pass,code+browser,"src/pages/MatchupPage.tsx",
