priority,area,surface,problem,recommendation,evidence,status,prompt,notes
P0,Brand,Global shell,User-facing product still mixes Odds Gods and Olympus.,Rename public UI to Odds Gods; keep Olympus only where infra/internal rename risk is high.,App title says `Olympus - Odds Gods`; header renders `ODDS GODS` plus `OLYMPUS`; multiple pages say `Welcome to Olympus`.,done,og-shell-trust-cleanup-prompt.md,User-facing brand strings now render Odds Gods; internal Olympus identifiers stay unchanged.
P0,Trust,Matchup loading,Initial projection hydration can show fake-looking even lines and zero projections.,Mask provisional pricing behind a loading/reduced-confidence state until projections are ready.,"Local first render showed 50/50, 100.0 vs 100.0, and player rows at 0.0.",done,og-shell-trust-cleanup-prompt.md,Connected Matchup gates pricing UI until pricing.available is true.
P0,Navigation,Desktop header,Top nav and action cluster are too crowded for a new user.,"Reduce primary nav to Matchup, League, Trade, Board, More; move Projections/admin/help out of primary nav.","Header currently shows Matchup, Season, Trade, My Board, Projections, League, More, How this works, Week, Synced, PPR, %, account.",done,og-backlog-batch2-prompt.md,"Primary nav is now Matchup, League, Trade, Board, More; Season is merged under League."
P0,Navigation,Mobile bottom bar,Connected mobile has seven bottom tabs.,"Reduce mobile bottom nav to Matchup, League, Trade, Board, More; move Season under League and Projections under More/admin.","BottomTabBar currently renders Matchup, Season, Trade, My Board, Projections, League, More for connected redraft leagues.",done,og-backlog-batch2-prompt.md,"Bottom nav is now Matchup, League, Trade, Board, More; Season is merged under League."
P0,Matchup,Start/sit controls,`Who do I start?` appears as both instruction and button even though rows are tappable.,Remove the redundant button; use `Tap two players to compare` as lightweight helper copy if needed.,Matchup lineup renders `Tap any player: who do I start?` plus a `Who do I start?` button.,done,og-shell-trust-cleanup-prompt.md,Standalone lineup compare button removed; lineup hint now reads Tap two players to compare.
P0,Matchup,Swap actions,Row-level `Start K. Williams` text feels repetitive and inelegant.,Replace with compact `Swap` or `+X%` chip; reveal fuller text in verdict/tooltip.,Starter rows render `Best swap: K. Williams` plus separate `Start K. Williams` buttons.,done,og-backlog-batch2-prompt.md,"Starter rows now show one compact positive-delta chip that opens the existing verdict sheet; row-tap compare remains unchanged."
P0,Matchup,Action copy,Swap actions sound verbose or corny.,Rename `Preview the swap` to `Preview`; rename `Make it official in Sleeper` to `Open Sleeper`.,Current Biggest Edge actions include `Preview the swap` and `Make it official in Sleeper`.,done,og-shell-trust-cleanup-prompt.md,Biggest Edge and verdict swap actions now use Preview/Open platform copy.
P0,My Board,Model freshness,A stale personalized model can remain active without the user remembering.,"Show last edited time and prompt after 14 days: continue saved board, use baseline, or review changes.",User noted returning after 3 weeks and seeing `Your model`; current UI says `Your model · on Franco ...`.,blocked,og-backlog-batch2-prompt.md,"Static Baseline/Active/Stale chip and last-edited metadata landed; re-entry prompt is blocked because the model overlay currently only has destructive reset-to-Franco, not a non-destructive active-pricing-mode switch."
P0,My Board,Explanatory copy,Board page uses long self-explanatory prose that feels generated.,"Replace paragraph with model status metadata: active board, baseline, last edited, pricing impact.","Current copy begins `This is your board to edit, not a printout...`.",done,og-shell-trust-cleanup-prompt.md,Long prose replaced with compact pricing/baseline/last-edited status metadata.
P1,Information architecture,Season and League,Season and League overlap as league-market concepts.,"Merge Season into League subviews: This week, Futures, Schedule, Settings.",Season shows user futures/schedule; League shows league futures/week matchups/settings.,done,og-backlog-batch2-prompt.md,"League now owns URL-backed subviews for This week, Futures, Schedule, and Settings; /season redirects to /league?view=futures."
P1,Projections,Primary nav,Projections is an operator/admin tool but sits in primary fantasy-user nav.,Move Projections to More or admin-only entry.,"Projections page shows raw stat table, agreement editor, password edit flow.",done,og-shell-trust-cleanup-prompt.md,Projections removed from primary nav and added to More.
P1,Trade,First-run trade flow,Trade opens into a dense builder with advanced controls before first value.,"Start with simple choices: Price a trade, Find a deal, Find targets; move scouting controls secondary.","Trade page currently opens with full roster pickers, manager select, negotiator/appetite/fandom controls.",open,,
P1,More,Meta copy,More explains the app's IA instead of simply listing destinations.,"Remove meta-copy and group destinations by Account, League, Tools, Admin.","Current copy says `Matchup, season, trade, and league stay in the main tab bar...`.",done,og-shell-trust-cleanup-prompt.md,More is grouped destinations with Projections and How this works reachable.
P1,Onboarding,Welcome modal,First connected Matchup view can be interrupted by a modal that explains the product.,Prefer inline first-run hints and move the longer explanation behind Help/More.,WelcomeCard auto-opens on in-season Matchup until dismissed and contains three explanatory sections.,done,og-backlog-batch2-prompt.md,"App shell no longer auto-opens WelcomeCard on Matchup; More still owns the How this works entry."
P2,Differentiation,Line movement,Odds are still mostly snapshot numbers.,"Add line history, movement reasons, and since-last-visit deltas.",Existing product audit and local render show static current prices with limited movement narrative.,open,,
P2,Differentiation,Post-week recap,The product does not yet explain luck vs decision quality after results.,"Add post-week report: expected win chance, key decisions, variance read.",Competitive gap; aligns with Odds Gods as an honest internal book.,open,,
